"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7983306"	"1.22e-06"	"1.72e-09"	"-1.05e+01"	"11.96946"	"-2.70"	"WDR76"	"WD repeat domain 76"
"7927606"	"1.26e-06"	"1.85e-09"	"1.05e+01"	"11.9002"	"2.45"	"PRKG1"	"protein kinase, cGMP-dependent, type I"
"7970241"	"1.26e-06"	"1.88e-09"	"1.05e+01"	"11.8845"	"2.30"	"F10"	"coagulation factor X"
"8128284"	"1.26e-06"	"1.94e-09"	"1.05e+01"	"11.85588"	"1.77"	"EPHA7"	"EPH receptor A7"
"7930837"	"1.26e-06"	"1.97e-09"	"1.05e+01"	"11.84011"	"3.25"	"SLC18A2"	"solute carrier family 18 member A2"
"8146794"	"1.26e-06"	"1.97e-09"	"1.05e+01"	"11.83966"	"2.88"	"PREX2"	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
"8046099"	"1.40e-06"	"2.24e-09"	"1.04e+01"	"11.71628"	"2.32"	"NOSTRIN"	"nitric oxide synthase trafficking"
"7984588"	"1.40e-06"	"2.29e-09"	"1.04e+01"	"11.69892"	"3.15"	"THSD4"	"thrombospondin type 1 domain containing 4"
"8155864"	"1.40e-06"	"2.34e-09"	"1.04e+01"	"11.67642"	"2.01"	"RORB"	"RAR related orphan receptor B"
"7989199"	"1.40e-06"	"2.36e-09"	"1.04e+01"	"11.66772"	"2.67"	"ALDH1A2"	"aldehyde dehydrogenase 1 family member A2"
"8112376"	"1.40e-06"	"2.42e-09"	"-1.03e+01"	"11.64461"	"-3.52"	"CENPK"	"centromere protein K"
"8143772"	"1.40e-06"	"2.43e-09"	"1.03e+01"	"11.63978"	"2.79"	"RARRES2"	"retinoic acid receptor responder 2"
"7947512"	"1.43e-06"	"2.53e-09"	"1.03e+01"	"11.60356"	"4.46"	"PAMR1"	"peptidase domain containing associated with muscle regeneration 1"
"8049187"	"1.45e-06"	"2.60e-09"	"1.03e+01"	"11.57414"	"2.07"	"EFHD1"	"EF-hand domain family member D1"
"8068024"	"1.56e-06"	"2.85e-09"	"1.02e+01"	"11.48718"	"3.06"	"JAM2"	"junctional adhesion molecule 2"
"7957861"	"1.67e-06"	"3.11e-09"	"1.02e+01"	"11.40398"	"2.12"	"ANO4"	"anoctamin 4"
"7970954"	"1.69e-06"	"3.20e-09"	"1.02e+01"	"11.37576"	"2.95"	"DCLK1"	"doublecortin like kinase 1"
"7932254"	"1.80e-06"	"3.47e-09"	"1.01e+01"	"11.30062"	"3.73"	"ITGA8"	"integrin subunit alpha 8"
"8069668"	"1.81e-06"	"3.53e-09"	"1.01e+01"	"11.28276"	"3.38"	"CYYR1"	"cysteine and tyrosine rich 1"
"7916493"	"1.92e-06"	"3.80e-09"	"1.01e+01"	"11.21117"	"3.55"	"PLPP3"	"phospholipid phosphatase 3"
"7930857"	"2.00e-06"	"4.03e-09"	"1.00e+01"	"11.15573"	"2.47"	"EMX2"	"empty spiracles homeobox 2"
"8134869"	"2.06e-06"	"4.21e-09"	"9.99"	"11.11289"	"3.03"	"PCOLCE"	"procollagen C-endopeptidase enhancer"
"7923578"	"2.18e-06"	"4.51e-09"	"9.95"	"11.04751"	"3.38"	"FMOD"	"fibromodulin"
"7923978"	"2.25e-06"	"4.74e-09"	"9.92"	"11.00072"	"3.40"	"CD34"	"CD34 molecule"
"8175531"	"2.37e-06"	"5.11e-09"	"9.88"	"10.92786"	"3.02"	"CDR1"	"cerebellar degeneration related protein 1"
"8001800"	"2.37e-06"	"5.14e-09"	"9.87"	"10.92203"	"4.51"	"CDH11"	"cadherin 11"
"7957386"	"2.37e-06"	"5.32e-09"	"9.85"	"10.88853"	"3.13"	"ACSS3"	"acyl-CoA synthetase short-chain family member 3"
"7950005"	"2.37e-06"	"5.37e-09"	"9.85"	"10.88061"	"3.45"	"MRGPRF"	"MAS related GPR family member F"
"7909708"	"2.37e-06"	"5.38e-09"	"-9.85"	"10.87861"	"-3.93"	"CENPF"	"centromere protein F"
"8119124"	"2.37e-06"	"5.41e-09"	"9.84"	"10.87365"	"3.33"	"PI16"	"peptidase inhibitor 16"
"7989647"	"2.43e-06"	"5.61e-09"	"-9.82"	"10.83796"	"-4.65"	"KIAA0101"	"KIAA0101"
"7979281"	"2.55e-06"	"5.97e-09"	"-9.78"	"10.7776"	"-3.17"	"WDHD1"	"WD repeat and HMG-box DNA binding protein 1"
"8167998"	"2.65e-06"	"6.28e-09"	"9.75"	"10.72882"	"3.25"	"AR"	"androgen receptor"
"8105596"	"2.65e-06"	"6.36e-09"	"9.75"	"10.71806"	"2.29"	"RGS7BP"	"regulator of G-protein signaling 7 binding protein"
"7933194"	"2.70e-06"	"6.64e-09"	"9.72"	"10.67543"	"4.71"	"CXCL12"	"C-X-C motif chemokine ligand 12"
"7974109"	"2.70e-06"	"6.65e-09"	"9.72"	"10.67407"	"2.46"	"LRFN5"	"leucine rich repeat and fibronectin type III domain containing 5"
"7903777"	"2.96e-06"	"7.37e-09"	"9.66"	"10.57584"	"3.31"	"GSTM5"	"glutathione S-transferase mu 5"
"8118069"	"2.98e-06"	"7.51e-09"	"9.65"	"10.55768"	"5.78"	"MUC21"	"mucin 21, cell surface associated"
"8013112"	"3.12e-06"	"7.96e-09"	"9.61"	"10.50077"	"1.73"	"RASD1"	"ras related dexamethasone induced 1"
"8132557"	"3.41e-06"	"8.80e-09"	"9.55"	"10.40421"	"3.64"	"AEBP1"	"AE binding protein 1"
"8027260"	"3.61e-06"	"9.57e-09"	"9.50"	"10.32325"	"2.32"	"ZNF486"	"zinc finger protein 486"
"8035795"	"3.61e-06"	"9.59e-09"	"9.50"	"10.3215"	"2.10"	"ZNF626"	"zinc finger protein 626"
"8177931"	"3.61e-06"	"9.64e-09"	"9.50"	"10.31611"	"5.86"	"MUC21"	"mucin 21, cell surface associated"
"8155214"	"3.74e-06"	"1.01e-08"	"-9.47"	"10.27022"	"-3.98"	"MELK"	"maternal embryonic leucine zipper kinase"
"8169640"	"3.95e-06"	"1.08e-08"	"-9.43"	"10.20746"	"-1.78"	"SLC25A5"	"solute carrier family 25 member 5"
"8003667"	"4.10e-06"	"1.13e-08"	"9.40"	"10.16144"	"5.42"	"SERPINF1///SERPINF1"	"serpin family F member 1///serpin family F member 1"
"8014349"	"4.21e-06"	"1.17e-08"	"9.38"	"10.12556"	"2.33"	"CCL15-CCL14///CCL15///CCL14"	"CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 15///C-C motif chemokine ligand 14"
"8017964"	"4.25e-06"	"1.20e-08"	"9.37"	"10.10571"	"2.64"	"ABCA6"	"ATP binding cassette subfamily A member 6"
"8097080"	"4.27e-06"	"1.22e-08"	"9.36"	"10.09081"	"4.33"	"SYNPO2"	"synaptopodin 2"
"7904158"	"4.34e-06"	"1.25e-08"	"9.35"	"10.06514"	"3.41"	"OLFML3"	"olfactomedin like 3"
"7923086"	"4.39e-06"	"1.28e-08"	"-9.33"	"10.04292"	"-4.06"	"ASPM"	"abnormal spindle microtubule assembly"
"8132118"	"4.48e-06"	"1.32e-08"	"9.32"	"10.01436"	"4.52"	"AQP1///AQP1"	"aquaporin 1 (Colton blood group)///aquaporin 1 (Colton blood group)"
"8162394"	"4.51e-06"	"1.34e-08"	"9.31"	"9.99747"	"4.38"	"ASPN"	"asporin"
"7971950"	"4.80e-06"	"1.44e-08"	"9.26"	"9.92774"	"1.79"	"DACH1"	"dachshund family transcription factor 1"
"8099476"	"4.81e-06"	"1.47e-08"	"9.25"	"9.90975"	"3.91"	"PROM1"	"prominin 1"
"7984813"	"4.81e-06"	"1.48e-08"	"9.25"	"9.90529"	"4.00"	"ISLR"	"immunoglobulin superfamily containing leucine rich repeat"
"8074991"	"4.81e-06"	"1.49e-08"	"9.25"	"9.89707"	"2.56"	"GGT5"	"gamma-glutamyltransferase 5"
"7901535"	"4.91e-06"	"1.53e-08"	"9.23"	"9.86684"	"2.94"	"PODN"	"podocan"
"8151768"	"4.97e-06"	"1.57e-08"	"9.22"	"9.84619"	"2.28"	"RUNX1T1"	"RUNX1 translocation partner 1"
"8168146"	"5.17e-06"	"1.65e-08"	"-9.19"	"9.79938"	"-3.70"	"KIF4A"	"kinesin family member 4A"
"8017885"	"5.31e-06"	"1.71e-08"	"9.17"	"9.7636"	"3.31"	"ABCA8"	"ATP binding cassette subfamily A member 8"
"8179224"	"5.66e-06"	"1.84e-08"	"9.12"	"9.69289"	"5.86"	"MUC21"	"mucin 21, cell surface associated"
"7985829"	"5.79e-06"	"1.89e-08"	"-9.11"	"9.66326"	"-3.62"	"FANCI"	"Fanconi anemia complementation group I"
"7964285"	"6.00e-06"	"1.98e-08"	"9.08"	"9.61832"	"2.04"	"SDR9C7"	"short chain dehydrogenase/reductase family 9C, member 7"
"8109333"	"6.00e-06"	"2.00e-08"	"9.08"	"9.61077"	"3.44"	"GPX3///GPX3"	"glutathione peroxidase 3///glutathione peroxidase 3"
"8122860"	"6.43e-06"	"2.16e-08"	"9.03"	"9.53419"	"2.31"	"MYCT1"	"myc target 1"
"8092640"	"6.67e-06"	"2.27e-08"	"-9.01"	"9.48932"	"-3.05"	"RFC4"	"replication factor C subunit 4"
"8145865"	"6.67e-06"	"2.28e-08"	"9.00"	"9.48214"	"2.35"	"ADGRA2"	"adhesion G protein-coupled receptor A2"
"8109159"	"7.06e-06"	"2.44e-08"	"8.96"	"9.41878"	"2.76"	"CARMN///MIR145"	"cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145"
"8140556"	"7.20e-06"	"2.51e-08"	"8.95"	"9.39103"	"1.77"	"HGF"	"hepatocyte growth factor"
"8053266"	"7.21e-06"	"2.53e-08"	"8.94"	"9.38142"	"1.94"	"TACR1"	"tachykinin receptor 1"
"8027760"	"7.22e-06"	"2.58e-08"	"8.93"	"9.36484"	"2.44"	"FXYD1"	"FXYD domain containing ion transport regulator 1"
"8077970"	"7.22e-06"	"2.60e-08"	"8.93"	"9.35568"	"2.32"	"FBLN2"	"fibulin 2"
"8094988"	"7.22e-06"	"2.60e-08"	"8.93"	"9.35525"	"1.93"	"CWH43"	"cell wall biogenesis 43 C-terminal homolog"
"7922130"	"7.22e-06"	"2.62e-08"	"8.92"	"9.34683"	"3.29"	"DPT"	"dermatopontin"
"8027938"	"7.64e-06"	"2.80e-08"	"8.89"	"9.28483"	"2.73"	"UPK1A"	"uroplakin 1A"
"7947274"	"8.16e-06"	"3.01e-08"	"8.84"	"9.21227"	"3.53"	"MPPED2"	"metallophosphoesterase domain containing 2"
"7934906"	"8.56e-06"	"3.19e-08"	"8.81"	"9.15852"	"4.82"	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"
"8123104"	"8.87e-06"	"3.35e-08"	"8.79"	"9.1109"	"1.46"	"FNDC1"	"fibronectin type III domain containing 1"
"8151871"	"8.87e-06"	"3.36e-08"	"-8.78"	"9.10776"	"-2.98"	"CCNE2"	"cyclin E2"
"8004221"	"1.08e-05"	"4.12e-08"	"8.67"	"8.90862"	"3.64"	"ALOX12"	"arachidonate 12-lipoxygenase, 12S type"
"7927710"	"1.13e-05"	"4.34e-08"	"-8.64"	"8.85777"	"-3.90"	"CDK1"	"cyclin dependent kinase 1"
"7948794"	"1.13e-05"	"4.36e-08"	"8.64"	"8.85291"	"1.49"	"LRRN4CL"	"LRRN4 C-terminal like"
"8001387"	"1.13e-05"	"4.42e-08"	"8.63"	"8.84013"	"1.79"	"SALL1"	"spalt like transcription factor 1"
"8122071"	"1.16e-05"	"4.55e-08"	"8.61"	"8.81094"	"1.71"	"ENPP3"	"ectonucleotide pyrophosphatase/phosphodiesterase 3"
"8034772"	"1.19e-05"	"4.73e-08"	"-8.59"	"8.77358"	"-2.86"	"ASF1B"	"anti-silencing function 1B histone chaperone"
"8159521"	"1.20e-05"	"4.80e-08"	"8.58"	"8.75905"	"2.68"	"PTGDS"	"prostaglandin D2 synthase"
"8169145"	"1.28e-05"	"5.13e-08"	"8.55"	"8.69429"	"1.93"	"MUM1L1"	"MUM1 like 1"
"8115397"	"1.32e-05"	"5.35e-08"	"8.53"	"8.65432"	"2.25"	"FAXDC2"	"fatty acid hydroxylase domain containing 2"
"8097957"	"1.42e-05"	"5.87e-08"	"8.47"	"8.56405"	"2.66"	"GUCY1A3"	"guanylate cyclase 1 soluble subunit alpha"
"8035813"	"1.42e-05"	"5.89e-08"	"8.47"	"8.56076"	"1.69"	"ZNF43"	"zinc finger protein 43"
"7953218"	"1.42e-05"	"5.90e-08"	"-8.47"	"8.55909"	"-3.33"	"RAD51AP1"	"RAD51 associated protein 1"
"7959408"	"1.42e-05"	"5.94e-08"	"-8.47"	"8.55169"	"-2.53"	"KNTC1"	"kinetochore associated 1"
"8061471"	"1.45e-05"	"6.11e-08"	"-8.45"	"8.52475"	"-3.09"	"GINS1"	"GINS complex subunit 1"
"7983969"	"1.48e-05"	"6.25e-08"	"-8.44"	"8.50231"	"-4.17"	"CCNB2"	"cyclin B2"
"7933733"	"1.49e-05"	"6.37e-08"	"8.43"	"8.48441"	"2.09"	"FAM13C"	"family with sequence similarity 13 member C"
"8055426"	"1.49e-05"	"6.40e-08"	"-8.43"	"8.47985"	"-2.34"	"MCM6"	"minichromosome maintenance complex component 6"
"8178712"	"1.49e-05"	"6.49e-08"	"8.42"	"8.4654"	"3.04"	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"8179935"	"1.49e-05"	"6.49e-08"	"8.42"	"8.4654"	"3.04"	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"7916282"	"1.52e-05"	"6.66e-08"	"-8.41"	"8.44121"	"-2.00"	"LRP8"	"LDL receptor related protein 8"
"8095364"	"1.54e-05"	"6.78e-08"	"8.40"	"8.42336"	"4.89"	"TMPRSS11E"	"transmembrane protease, serine 11E"
"7940630"	"1.54e-05"	"6.83e-08"	"8.39"	"8.41581"	"2.31"	"SCGB1D2"	"secretoglobin family 1D member 2"
"8102792"	"1.55e-05"	"7.01e-08"	"8.38"	"8.39103"	"4.10"	"PCDH18"	"protocadherin 18"
"8056102"	"1.55e-05"	"7.02e-08"	"8.38"	"8.38871"	"3.35"	"LY75-CD302///CD302"	"LY75-CD302 readthrough///CD302 molecule"
"8061579"	"1.55e-05"	"7.12e-08"	"-8.37"	"8.37594"	"-4.34"	"TPX2"	"TPX2, microtubule nucleation factor"
"8027312"	"1.55e-05"	"7.12e-08"	"8.37"	"8.37591"	"1.73"	"ZNF429"	"zinc finger protein 429"
"7969640"	"1.55e-05"	"7.13e-08"	"8.37"	"8.37396"	"1.81"	"CLDN10"	"claudin 10"
"8125289"	"1.59e-05"	"7.34e-08"	"8.35"	"8.34559"	"3.04"	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"8115099"	"1.60e-05"	"7.46e-08"	"8.34"	"8.33012"	"4.00"	"PDGFRB///PDGFRB"	"platelet derived growth factor receptor beta///platelet derived growth factor receptor beta"
"7902913"	"1.76e-05"	"8.23e-08"	"-8.29"	"8.23372"	"-2.84"	"CDC7"	"cell division cycle 7"
"8019842"	"1.80e-05"	"8.49e-08"	"-8.27"	"8.20421"	"-4.11"	"TYMS"	"thymidylate synthetase"
"7984330"	"1.84e-05"	"8.74e-08"	"-8.26"	"8.17532"	"-2.93"	"ZWILCH"	"zwilch kinetochore protein"
"8090772"	"1.84e-05"	"8.79e-08"	"-8.26"	"8.16959"	"-1.94"	"TOPBP1"	"topoisomerase (DNA) II binding protein 1"
"8095380"	"1.89e-05"	"9.13e-08"	"8.24"	"8.13301"	"4.93"	"TMPRSS11E"	"transmembrane protease, serine 11E"
"7951351"	"1.89e-05"	"9.15e-08"	"8.23"	"8.1311"	"2.54"	"PDGFD"	"platelet derived growth factor D"
"7999674"	"1.90e-05"	"9.23e-08"	"8.23"	"8.12198"	"4.30"	"MYH11"	"myosin heavy chain 11"
"8067839"	"1.91e-05"	"9.38e-08"	"8.22"	"8.10604"	"3.01"	"FGF7P3///FGF7P6///FGF7"	"fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7"
"8092661"	"1.91e-05"	"9.43e-08"	"8.22"	"8.10084"	"2.30"	"MASP1"	"mannan binding lectin serine peptidase 1"
"7908924"	"1.91e-05"	"9.47e-08"	"8.22"	"8.09701"	"3.88"	"PRELP"	"proline and arginine rich end leucine rich repeat protein"
"7917182"	"1.97e-05"	"9.86e-08"	"8.19"	"8.05781"	"3.42"	"ADGRL4"	"adhesion G protein-coupled receptor L4"
"8111993"	"1.97e-05"	"9.90e-08"	"8.19"	"8.05326"	"2.21"	"FGF10"	"fibroblast growth factor 10"
"8049752"	"2.07e-05"	"1.04e-07"	"8.16"	"8.00134"	"2.01"	"SNED1"	"sushi, nidogen and EGF like domains 1"
"7974214"	"2.13e-05"	"1.08e-07"	"8.14"	"7.96593"	"2.10"	"KLHDC1"	"kelch domain containing 1"
"7915926"	"2.15e-05"	"1.10e-07"	"-8.14"	"7.95062"	"-3.10"	"STIL"	"SCL/TAL1 interrupting locus"
"8055624"	"2.20e-05"	"1.13e-07"	"8.12"	"7.92292"	"3.58"	"ZEB2"	"zinc finger E-box binding homeobox 2"
"8078619"	"2.25e-05"	"1.16e-07"	"8.11"	"7.89683"	"2.67"	"ITGA9"	"integrin subunit alpha 9"
"8017262"	"2.34e-05"	"1.22e-07"	"-8.08"	"7.84903"	"-2.97"	"BRIP1"	"BRCA1 interacting protein C-terminal helicase 1"
"8101952"	"2.34e-05"	"1.22e-07"	"8.08"	"7.84888"	"1.42"	"DDIT4L"	"DNA damage inducible transcript 4 like"
"8021946"	"2.54e-05"	"1.34e-07"	"8.03"	"7.75563"	"2.89"	"COLEC12"	"collectin subfamily member 12"
"8008609"	"2.54e-05"	"1.34e-07"	"8.03"	"7.75515"	"1.72"	"ANKFN1"	"ankyrin repeat and fibronectin type III domain containing 1"
"8036787"	"2.55e-05"	"1.36e-07"	"8.02"	"7.74548"	"4.31"	"FCGBP"	"Fc fragment of IgG binding protein"
"8108693"	"2.63e-05"	"1.41e-07"	"8.00"	"7.70906"	"2.31"	"PCDHB4"	"protocadherin beta 4"
"8139632"	"2.74e-05"	"1.50e-07"	"-7.97"	"7.6488"	"-2.00"	"FIGNL1"	"fidgetin like 1"
"8072687"	"2.74e-05"	"1.50e-07"	"-7.97"	"7.64647"	"-2.38"	"MCM5"	"minichromosome maintenance complex component 5"
"8151032"	"2.74e-05"	"1.50e-07"	"-7.97"	"7.64588"	"-3.00"	"GGH"	"gamma-glutamyl hydrolase"
"8101945"	"2.74e-05"	"1.51e-07"	"-7.97"	"7.64271"	"-2.18"	"H2AFZ"	"H2A histone family member Z"
"8088550"	"2.74e-05"	"1.51e-07"	"7.97"	"7.64186"	"3.12"	"PRICKLE2"	"prickle planar cell polarity protein 2"
"7930482"	"2.75e-05"	"1.52e-07"	"7.96"	"7.63591"	"1.94"	"ADRA2A"	"adrenoceptor alpha 2A"
"8058857"	"2.76e-05"	"1.53e-07"	"7.96"	"7.62732"	"6.63"	"IGFBP5"	"insulin like growth factor binding protein 5"
"8036072"	"2.76e-05"	"1.54e-07"	"7.96"	"7.62182"	"3.05"	"KRTDAP"	"keratinocyte differentiation associated protein"
"8082350"	"2.90e-05"	"1.64e-07"	"-7.92"	"7.56204"	"-2.52"	"MCM2"	"minichromosome maintenance complex component 2"
"7965769"	"2.90e-05"	"1.64e-07"	"7.92"	"7.56088"	"2.77"	"SLC5A8"	"solute carrier family 5 member 8"
"8151816"	"2.90e-05"	"1.65e-07"	"7.92"	"7.55382"	"3.91"	"GEM"	"GTP binding protein overexpressed in skeletal muscle"
"8180255"	"2.90e-05"	"1.66e-07"	"-7.92"	"7.54539"	"-2.63"	"HIST2H4B"	"histone cluster 2, H4b"
"8180321"	"2.90e-05"	"1.66e-07"	"-7.92"	"7.54539"	"-2.63"	"HIST2H4A"	"histone cluster 2, H4a"
"7934690"	"2.92e-05"	"1.69e-07"	"7.91"	"7.53352"	"1.48"	"ZCCHC24"	"zinc finger CCHC-type containing 24"
"8109639"	"3.06e-05"	"1.78e-07"	"-7.88"	"7.48191"	"-3.23"	"PTTG1"	"pituitary tumor-transforming 1"
"8077323"	"3.10e-05"	"1.81e-07"	"7.87"	"7.46429"	"2.10"	"CNTN4"	"contactin 4"
"8063729"	"3.12e-05"	"1.83e-07"	"7.87"	"7.45462"	"1.78"	"EDN3"	"endothelin 3"
"8168794"	"3.12e-05"	"1.84e-07"	"-7.86"	"7.44871"	"-3.26"	"CENPI"	"centromere protein I"
"8097692"	"3.12e-05"	"1.86e-07"	"7.86"	"7.43718"	"4.64"	"EDNRA"	"endothelin receptor type A"
"8043504"	"3.12e-05"	"1.86e-07"	"7.86"	"7.43584"	"5.67"	"MAL"	"mal, T-cell differentiation protein"
"7948354"	"3.12e-05"	"1.86e-07"	"7.86"	"7.43543"	"2.00"	"GLYATL2"	"glycine-N-acyltransferase like 2"
"7936494"	"3.15e-05"	"1.89e-07"	"7.85"	"7.41954"	"1.96"	"GFRA1"	"GDNF family receptor alpha 1"
